ACL00 (Labels),Total,Personal care except eating,Eating,Work and study,Household and family care and related travel,Leisure. social and associative life except TV and video,Television and video,Travel to/from work/study,Unspecified time use and travel
Total (24 hours),100,39.2,6.5,17.4,12.6,12.4,9.8,1.9,0.2
From 00:00 to 00:09,100,91.2,0.2,2.7,0.8,3.0,1.8,0.2,0.1
From 00:10 to 00:19,100,91.7,0.3,2.7,0.6,2.9,1.7,0.1,0.1
From 00:20 to 00:29,100,92.3,0.3,2.7,0.5,2.7,1.5,0.1,0.0
From 00:30 to 00:39,100,92.8,0.2,2.6,0.4,2.5,1.3,0.1,0.1
From 00:40 to 00:49,100,93.3,0.2,2.6,0.4,2.3,1.1,0.0,0.1
From 00:50 to 00:59,100,93.7,0.2,2.6,0.4,2.2,1.0,0.1,0.1
From 01:00 to 01:09,100,94.4,0.2,2.5,0.5,1.7,0.6,0.1,0.0
From 01:10 to 01:19,100,94.7,0.2,2.4,0.4,1.6,0.6,0.1,0.0
From 01:20 to 01:29,100,94.8,0.2,2.4,0.4,1.5,0.5,0.1,0.0
From 01:30 to 01:39,100,95.2,0.2,2.4,0.4,1.4,0.5,0.0,0.0
From 01:40 to 01:49,100,95.3,0.2,2.4,0.3,1.3,0.4,0.0,0.0
From 01:50 to 01:59,100,95.5,0.2,2.4,0.3,1.2,0.3,0.1,0.0
From 02:00 to 02:09,100,96.0,0.1,2.4,0.4,0.8,0.2,0.1,0.0
From 02:10 to 02:19,100,96.1,0.1,2.3,0.4,0.8,0.2,0.1,0.0
From 02:20 to 02:29,100,96.2,0.1,2.3,0.3,0.7,0.2,0.1,0.0
From 02:30 to 02:39,100,96.4,0.1,2.3,0.3,0.7,0.1,0.1,0.0
From 02:40 to 02:49,100,96.5,0.1,2.3,0.3,0.7,0.1,0.0,0.0
From 02:50 to 02:59,100,96.6,0.0,2.3,0.3,0.6,0.1,0.1,0.0
From 03:00 to 03:09,100,96.7,0.0,2.2,0.3,0.5,0.1,0.1,0.0
From 03:10 to 03:19,100,96.8,0.0,2.2,0.3,0.4,0.1,0.1,0.0
From 03:20 to 03:29,100,96.9,0.1,2.2,0.3,0.4,0.1,0.1,0.0
From 03:30 to 03:39,100,96.9,0.1,2.2,0.2,0.4,0.1,0.1,0.0
From 03:40 to 03:49,100,96.9,0.1,2.2,0.2,0.3,0.1,0.2,0.0
From 03:50 to 03:59,100,96.9,0.1,2.2,0.2,0.2,0.1,0.2,0.0
From 04:00 to 04:09,100,96.9,0.1,2.1,0.2,0.3,0.1,0.3,0.0
From 04:10 to 04:19,100,96.7,0.2,2.1,0.3,0.3,0.1,0.3,0.0
From 04:20 to 04:29,100,96.1,0.4,2.2,0.4,0.4,0.1,0.4,0.0
From 04:30 to 04:39,100,95.5,0.6,2.3,0.6,0.4,0.1,0.6,0.0
From 04:40 to 04:49,100,95.0,0.6,2.3,0.7,0.4,0.1,0.9,0.0
From 04:50 to 04:59,100,94.2,0.8,2.5,0.7,0.5,0.1,1.2,0.0
From 05:00 to 05:09,100,93.0,1.0,2.8,1.1,0.5,0.1,1.6,0.0
From 05:10 to 05:19,100,91.6,1.3,3.0,1.4,0.5,0.1,2.2,0.0
From 05:20 to 05:29,100,89.4,1.9,3.3,1.6,0.6,0.1,3.1,0.0
From 05:30 to 05:39,100,87.2,2.0,3.8,1.8,0.7,0.2,4.2,0.0
From 05:40 to 05:49,100,85.3,2.0,4.5,1.9,0.8,0.2,5.4,0.0
From 05:50 to 05:59,100,83.3,2.1,6.1,2.2,0.9,0.2,5.1,0.0
From 06:00 to 06:09,100,79.8,2.4,9.7,3.1,1.4,0.3,3.3,0.0
From 06:10 to 06:19,100,76.6,3.3,10.0,3.9,1.6,0.4,4.1,0.0
From 06:20 to 06:29,100,71.6,5.1,10.6,5.2,1.7,0.5,5.2,0.0
From 06:30 to 06:39,100,67.2,6.1,11.6,5.9,2.1,0.5,6.6,0.0
From 06:40 to 06:49,100,63.8,6.0,12.5,6.2,2.4,0.7,8.4,0.0
From 06:50 to 06:59,100,60.4,6.0,14.5,6.9,2.7,0.7,8.8,0.0
From 07:00 to 07:09,100,56.2,6.3,20.6,7.8,3.3,0.9,4.9,0.0
From 07:10 to 07:19,100,52.5,7.3,21.4,8.8,3.5,1.1,5.3,0.0
From 07:20 to 07:29,100,48.0,8.5,22.3,10.1,3.8,1.3,6.0,0.0
From 07:30 to 07:39,100,43.8,8.7,23.9,11.4,4.1,1.5,6.6,0.0
From 07:40 to 07:49,100,40.4,8.8,24.7,12.5,4.5,1.7,7.4,0.1
From 07:50 to 07:59,100,38.0,9.2,27.0,12.9,4.7,1.7,6.5,0.1
From 08:00 to 08:09,100,33.8,9.1,32.2,14.3,5.5,2.3,2.8,0.0
From 08:10 to 08:19,100,31.3,9.9,33.0,14.9,5.9,2.6,2.4,0.0
From 08:20 to 08:29,100,27.6,10.6,33.7,16.3,6.5,2.9,2.3,0.0
From 08:30 to 08:39,100,24.0,11.3,34.6,17.6,7.1,3.3,2.2,0.0
From 08:40 to 08:49,100,21.5,11.4,35.2,18.3,7.7,3.6,2.2,0.0
From 08:50 to 08:59,100,19.8,10.9,35.6,19.2,8.3,4.0,2.1,0.1
From 09:00 to 09:09,100,18.1,10.2,36.7,20.2,9.3,4.2,1.4,0.1
From 09:10 to 09:19,100,16.7,9.9,37.0,20.6,9.8,4.6,1.3,0.1
From 09:20 to 09:29,100,14.9,9.6,37.4,21.5,10.3,4.9,1.4,0.1
From 09:30 to 09:39,100,13.2,8.8,37.8,22.6,11.1,5.1,1.3,0.1
From 09:40 to 09:49,100,12.1,8.4,38.0,23.4,11.5,5.2,1.3,0.1
From 09:50 to 09:59,100,11.0,8.1,38.3,23.8,12.0,5.5,1.2,0.1
From 10:00 to 10:09,100,10.0,7.5,38.4,25.1,13.0,5.1,0.9,0.1
From 10:10 to 10:19,100,9.0,7.5,38.7,25.1,13.5,5.4,0.7,0.1
From 10:20 to 10:29,100,8.0,6.9,39.0,25.4,14.1,5.8,0.6,0.1
From 10:30 to 10:39,100,7.3,5.9,39.3,26.0,14.9,5.9,0.6,0.1
From 10:40 to 10:49,100,6.7,5.6,39.5,25.8,15.7,6.1,0.6,0.1
From 10:50 to 10:59,100,6.3,5.1,39.7,25.8,16.1,6.3,0.6,0.1
From 11:00 to 11:09,100,5.8,4.5,39.8,26.5,16.5,6.1,0.7,0.1
From 11:10 to 11:19,100,5.4,4.4,39.9,26.3,16.9,6.3,0.7,0.1
From 11:20 to 11:29,100,5.0,4.1,40.0,26.0,17.7,6.5,0.6,0.1
From 11:30 to 11:39,100,4.7,3.9,40.0,26.0,17.9,6.7,0.6,0.1
From 11:40 to 11:49,100,4.3,4.0,40.0,26.0,18.1,6.8,0.7,0.1
From 11:50 to 11:59,100,4.3,4.8,39.8,25.9,17.6,6.7,0.7,0.2
From 12:00 to 12:09,100,4.4,7.6,38.5,25.9,16.5,5.9,1.0,0.2
From 12:10 to 12:19,100,4.1,8.1,38.5,25.2,17.0,6.0,0.9,0.1
From 12:20 to 12:29,100,4.0,7.6,38.6,24.8,17.7,6.4,0.8,0.2
From 12:30 to 12:39,100,3.9,7.4,38.8,24.8,17.9,6.2,0.8,0.1
From 12:40 to 12:49,100,4.0,7.5,38.7,24.3,18.2,6.2,1.0,0.2
From 12:50 to 12:59,100,4.1,8.3,38.7,23.6,18.0,6.1,1.2,0.2
From 13:00 to 13:09,100,3.9,13.0,37.7,22.4,16.0,5.2,1.7,0.2
From 13:10 to 13:19,100,3.8,13.6,37.6,21.7,16.2,5.2,1.6,0.2
From 13:20 to 13:29,100,3.8,13.1,37.7,21.2,16.8,5.4,1.8,0.2
From 13:30 to 13:39,100,3.9,11.8,37.7,21.3,17.3,5.8,2.0,0.1
From 13:40 to 13:49,100,4.0,10.9,37.9,21.4,17.7,6.1,1.9,0.1
From 13:50 to 13:59,100,4.1,11.9,37.8,20.8,17.3,6.0,1.9,0.2
From 14:00 to 14:09,100,4.2,15.6,34.0,19.7,16.3,5.5,4.5,0.2
From 14:10 to 14:19,100,4.0,15.9,33.3,19.2,17.0,5.8,4.6,0.2
From 14:20 to 14:29,100,4.3,14.8,33.0,19.5,18.0,6.2,4.0,0.2
From 14:30 to 14:39,100,4.5,12.9,32.7,20.2,19.2,6.7,3.6,0.2
From 14:40 to 14:49,100,4.7,11.8,32.6,20.2,20.3,7.2,3.0,0.2
From 14:50 to 14:59,100,4.7,11.5,32.4,20.1,20.8,7.5,2.9,0.2
From 15:00 to 15:09,100,4.4,11.8,28.3,20.7,21.1,7.3,6.2,0.2
From 15:10 to 15:19,100,4.5,11.9,27.4,20.2,22.0,7.8,5.9,0.2
From 15:20 to 15:29,100,4.5,11.8,27.0,20.7,22.8,8.2,4.8,0.1
From 15:30 to 15:39,100,4.7,11.3,25.7,20.8,23.8,8.8,4.8,0.2
From 15:40 to 15:49,100,4.6,10.7,25.6,21.4,24.5,9.2,3.9,0.2
From 15:50 to 15:59,100,4.6,10.9,25.3,21.7,24.8,9.3,3.3,0.2
From 16:00 to 16:09,100,4.7,10.5,21.3,23.2,24.7,9.5,5.8,0.2
From 16:10 to 16:19,100,4.6,10.8,20.8,22.6,25.7,10.0,5.3,0.2
From 16:20 to 16:29,100,4.5,10.4,20.8,22.5,26.8,10.8,4.2,0.1
From 16:30 to 16:39,100,4.4,9.4,20.5,22.9,27.8,11.4,3.5,0.2
From 16:40 to 16:49,100,4.2,9.4,20.3,22.9,28.3,11.9,2.9,0.2
From 16:50 to 16:59,100,3.9,9.1,20.0,23.1,28.1,12.9,2.7,0.2
From 17:00 to 17:09,100,3.7,9.3,17.7,22.7,26.4,16.2,3.8,0.2
From 17:10 to 17:19,100,3.6,9.4,17.3,22.1,27.0,16.8,3.5,0.2
From 17:20 to 17:29,100,3.7,9.1,17.3,22.1,28.3,16.4,2.9,0.2
From 17:30 to 17:39,100,3.6,9.0,16.9,22.3,28.8,16.6,2.5,0.2
From 17:40 to 17:49,100,3.5,8.8,16.7,22.6,29.3,16.7,2.2,0.2
From 17:50 to 17:59,100,3.6,9.5,16.4,23.1,28.7,16.5,2.1,0.2
From 18:00 to 18:09,100,4.0,12.9,13.3,25.0,26.1,15.1,3.4,0.2
From 18:10 to 18:19,100,3.8,14.1,13.0,23.7,26.6,15.8,2.9,0.2
From 18:20 to 18:29,100,3.7,14.6,12.9,22.5,27.1,16.6,2.3,0.2
From 18:30 to 18:39,100,4.1,14.3,12.6,22.2,27.3,17.6,1.9,0.2
From 18:40 to 18:49,100,4.2,13.9,12.5,21.9,27.3,18.4,1.6,0.2
From 18:50 to 18:59,100,4.3,14.8,12.1,22.0,26.2,19.2,1.3,0.2
From 19:00 to 19:09,100,5.4,17.8,10.3,20.9,22.5,21.0,1.8,0.2
From 19:10 to 19:19,100,5.4,18.5,10.1,19.3,22.6,22.4,1.5,0.2
From 19:20 to 19:29,100,5.3,17.7,10.0,17.8,22.6,25.4,1.2,0.2
From 19:30 to 19:39,100,5.7,14.9,9.4,16.3,21.6,30.7,1.0,0.3
From 19:40 to 19:49,100,6.1,13.9,9.2,15.6,21.4,32.5,0.9,0.3
From 19:50 to 19:59,100,7.2,12.9,8.8,15.0,20.9,33.9,0.9,0.4
From 20:00 to 20:09,100,10.1,10.7,7.2,14.7,18.8,36.9,1.1,0.5
From 20:10 to 20:19,100,10.0,11.0,7.2,12.8,19.2,38.4,0.9,0.5
From 20:20 to 20:29,100,9.6,9.8,7.0,11.2,19.8,41.2,0.8,0.5
From 20:30 to 20:39,100,9.8,7.9,6.8,9.8,20.2,44.3,0.6,0.5
From 20:40 to 20:49,100,10.2,6.7,6.7,8.9,20.2,46.2,0.6,0.6
From 20:50 to 20:59,100,11.6,5.7,6.6,8.3,20.0,46.5,0.6,0.7
From 21:00 to 21:09,100,17.1,4.9,6.0,7.5,18.6,44.3,0.9,0.7
From 21:10 to 21:19,100,17.9,4.6,5.8,6.6,18.5,44.8,0.9,0.9
From 21:20 to 21:29,100,19.4,4.1,5.8,5.5,18.6,44.9,0.9,0.9
From 21:30 to 21:39,100,22.6,3.4,5.7,5.0,18.2,43.2,0.9,1.1
From 21:40 to 21:49,100,25.7,3.1,5.7,4.4,17.6,41.4,0.7,1.4
From 21:50 to 21:59,100,30.8,2.7,5.7,4.1,16.5,38.2,0.6,1.4
From 22:00 to 22:09,100,50.2,2.2,4.5,3.9,12.8,24.1,1.3,1.1
From 22:10 to 22:19,100,51.9,2.0,4.2,3.1,12.8,23.6,1.4,1.1
From 22:20 to 22:29,100,54.4,1.7,4.0,2.6,12.7,22.2,1.2,1.1
From 22:30 to 22:39,100,59.3,1.6,3.9,2.2,12.1,19.2,0.8,0.9
From 22:40 to 22:49,100,62.3,1.4,3.9,1.9,11.5,17.5,0.6,0.9
From 22:50 to 22:59,100,65.5,1.2,3.9,1.6,10.7,15.8,0.5,0.9
From 23:00 to 23:09,100,76.1,0.9,3.3,1.6,7.9,9.2,0.6,0.5
From 23:10 to 23:19,100,78.4,0.8,3.2,1.4,7.1,8.1,0.5,0.4
From 23:20 to 23:29,100,80.5,0.7,3.1,1.1,6.7,7.2,0.3,0.4
From 23:30 to 23:39,100,83.2,0.5,3.0,1.0,5.9,5.7,0.2,0.3
From 23:40 to 23:49,100,85.0,0.5,3.0,0.9,5.2,4.9,0.2,0.4
From 23:50 to 23:59,100,87.0,0.4,2.9,0.8,4.5,4.0,0.1,0.3